,mineral_name,2v,art & architecture thesaurus id (p1014),babelnet id (p2581),birefringence,caption,class,cleavage,colour,commons category (p373),crystal system (p556),dana,dana 8th edition (p714),density,described by source (p1343),description,diaphaneity,dispersion,elhuyar zth id (p4746),encyclopædia britannica online id (p1417),encyclopædia universalis id (p3219),fluorescence,fracture,freebase id (p646),google knowledge graph id (p2671),gran enciclopèdia catalana id (p1296),gravity,great russian encyclopedia online id (p2924),habit,"ima number, broad sense (p484)",ima status and/or rank (p579),kbpedia id (p8408),kivid.info id (p7348),luster,microsoft academic id (p6366),mindat mineral id (p6263),mohs,mohs' hardness (p1088),molweight,name,named after (p138),"nickel-strunz '10th ed', review of (9th ed/ 2009 update) (p713)",nickel-strunz 9th edition (updated 2009) (p712),opticalprop,other,pleochroism,refractive,solid solution series with (p2155),solubility,space group (p690),store norske leksikon id (p4342),streak,streak color (p534),strunz,"strunz 8th edition (series id, updated) (p711)",subclass of (p279),symmetry,system,tenacity,twinning,type locality (geology) (p2695),unit cell,wolfram language entity code (p4839)
10,achavalite,,,,,"Black metallic crystals of achavalite from Cacheuta Mine, Mendoza, Argentina",Dihexagonal dipyramidal (6/mmm) <br/>[[H-M symbol]]: (6/m 2/m 2/m),,,Achávalite,hexagonal crystal system (Q663314),,,,,,Opaque,,,,,,,/m/0kfyqhp,,,6.53,,,IMA2015-E,"['grandfathered mineral (G) (Q13406846)', 'approved mineral, renamed (Rn) (Q13406860)']",,,Metallic,2778995668,,2.5,,134.81 g/mol,Achávalite [Ahv],,2.CC.05,2.CC.05,,,,,,,space group P6₃/mmc (Q15041650),,Grey-black,,2.CC.05,II/C.19,nickeline mineral group (Q3777764),''P''6<sub>3</sub>/mmc,[[Hexagonal crystal system|Hexagonal]],,,Cerro de Cacheuta (Q21846985),"a = 3.636, c = 5.946&nbsp;[Å], Z&nbsp;=&nbsp;2",
11,actinolite,"78–82° (calc), 84–73° (meas)",,,0.0250-0.0270,Actinolite crystal from [[Portugal]],Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,perfect along {110}.,,Actinolite,monoclinic crystal system (Q624543),,,,"['Great Soviet Encyclopedia (1926–1947) (Q20078554)', 'Ottův slovník naučný (Q2041543)', 'Granat Encyclopedic Dictionary (Q4532138)', 'Elements of Mineralogy (Q31415025)']",,translucent to transparent,r < v,,science/actinolite,,inert,uneven,/m/017m6t,,,"3.00 (+0.10, -0.05)",,"bladed, fibrous, radial",IMA2012 s.p.,"['redefined mineral (Rd) (Q13406872)', 'approved mineral and/or valid name (A) (Q13406835)']",Actinolite,556.0,vitreous to dull,2781366471,"['18', '11690', '11691', '10473']",5–6,,,Actinolite [Act],ray (Q633620),9.DE.10,9.DE.10,Biaxial (-),,"moderate, yellow to dark green (in stones that are transparent)",n<sub>α</sub> = 1.613–1.628<br/> n<sub>β</sub> = 1.627–1.644<br/> n<sub>γ</sub> = 1.638–1.655,,,space group C2/m (Q104021301),aktinolitt,white,white (Q23444),9.DE.10,VIII/F.10,ferro-actinolite – tremolite series (Q17544805),''C2/m'',[[Monoclinic]],,simple or lamellar,,,
12,acuminite,,,,,,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,Perfect on {001},,,monoclinic crystal system (Q624543),,,,,,Transparent,,,,,,,/m/07gwmr,,,3.295,,Clusters of acute dipyramidal Spearhead shaped crystals,IMA1986-038,approved mineral and/or valid name (A) (Q13406835),,,Vitreous,,"['19', '11693']",3.5,,,Acuminite [Acu],spearhead (Q29477178),3.CC.10,3.CC.10,Biaxial (+),,,n<sub>α</sub> = 1.451 n<sub>β</sub> = 1.453 n<sub>γ</sub> = 1.462 - 1.463,,,,,,,3.CC.10,III/C.01,soro-aluminofluoride minerals (3.CC.) (Q13405116),''C2/c'',[[Monoclinic]],,Contact on {100},Ivigtuut cryolite deposit (Q26453772),"a = 13.223, b = 5.175 <br/>c = 14.251&nbsp;[Å]; β = 11.61°; Z&nbsp;=&nbsp;8","Entity[""Mineral"", ""Acuminite""]"
13,adamite,,,,δ = 0.055,Yellow-green adamite in limonite,Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m),"{101}, good; {010}, poor",,Adamite,orthorhombic crystal system (Q648961),41.06.06.03 <br/>Olivenite group,41.6.6.3,,,,,,8339.0,,,,Uneven to subconchoidal,/m/04qlqy,,,4.32–4.48 measured,,Wedge-like prisms typically in druses and radiating clusters - also smooth botryoidal masses.,,grandfathered mineral (G) (Q13406846),Adamite,1350.0,Vitreous,2778984792,"['21', '11695', '11694']",3.5,"{'amount': '+3.5', 'unit': '1'}",,Adamite [Ad],Gilbert Joseph Adam (Q3105750),8.BB.30,8.BB.30,Biaxial (+/-),May fluoresce and phosphoresce lemon-yellow under SW and LW UV,,"n<sub>α</sub>=1.708 - 1.722, n<sub>β</sub>=1.742 - 1.744, n<sub>γ</sub>=1.763 - 1.773",,,,adamin,white to pale green,,8.BB.30,VII/B.06,olivenite group (Q3777603),''Pnnm'',[[Orthorhombic]],Brittle,,Chañarcillo (Q450443),,"Entity[""Mineral"", ""Adamite""]"
14,adamsite-(y),,,,,Cluster of prismatic white crystals of adamsite from Canada,Pinacoidal ( {{overline|1}} ) <br/><small>(same [[H-M symbol]])</small>,,,Adamsite-(Y),triclinic crystal system (Q376927),,,,,,,,,,,,,/m/07gws7,,,,,,IMA1999-020,approved mineral and/or valid name (A) (Q13406835),,,,,,3.0,"{'amount': '+3', 'unit': '1'}",,Adamsite-(Y) [Ads-Y],Frank Dawson Adams (Q1229902),5.CC.30,5.CC.30,,,,,,,space group P-1 (Q104519742),,,white (Q23444),5.CC.30,V/D.03,carbonate and nitrate class of minerals (Q1073138),''P'' {{overline|1}},[[Triclinic]],,,Poudrette quarry (Q23790564),,
15,adelite,,,,,"Pinkish crystal aggregates of adelite from the Franklin deposit in [[Ogdensburg, New Jersey]]",2 2 2 - Disphenoidal,None Observed,,Adelite,orthorhombic crystal system (Q648961),41.5.1.1,,,"Adelit, ett basiskt arseniat från Nordmarken och Långban (Q40839102)",arsenate mineral,"Transparent, Translucent",,,,,,,/m/07gww2,,,3.73 to 3.79,,"Elongate crystals, massive",,grandfathered mineral (G) (Q13406846),,,"Vitreous, Greasy",2779020651,"['23', '11699']",5,,,Adelite [Ade],hiding (Q30301727),8.BH.35,8.BH.35,"Biaxial (+), colorless (transmitted light)",,,,,,,,,,8.BH.35,VII/B.26,adelite subgroup (Q18002867),P2<sub>1</sub>2<sub>1</sub>2<sub>1</sub>,[[Orthorhombic]],,,"['Långban (Q1002624)', 'Kitteln mine,  Nordmark Odal field (Q26984998)']",,
16,admontite,,,,δ = 0.062,,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,Absent,,Admontite,monoclinic crystal system (Q624543),26.6.3.1,,"1.82 - 1.87, Average = 1.84",,,,None,,,,,"Conchoidal - Fractures developed in brittle materials characterized by smoothly curving surfaces, (e.g. quartz)",/m/07gwxv,,,,,,IMA1978-012,approved mineral and/or valid name (A) (Q13406835),,,,2779737246,"['27', '11704', '11705']",2 - 3 - Gypsum-Calcite,,,Admontite [Amt],Admont (Q359324),6.FA.15,6.FA.15,Biaxial (-),,,n<sub>α</sub> = 1.442 n<sub>γ</sub> = 1.504,,,,,White,white (Q23444),6.FA.15,V/H.17,nesoborate mineral subclass (Q13221579),''P''2<sub>1</sub>/c,[[Monoclinic]],,,,,
17,adranosite,,,,,,Ditetragonal Dipyramidal,,,,tetragonal crystal system (Q503601),,30.4.5.,,,,,,,,,,,,/g/11bwf4hpcr,,,,,IMA2008-057,approved mineral and/or valid name (A) (Q13406835),,,,,,,,,Adranosite [Arn],Adranus (Q366533),,,,,,,,,,,,,,,sulfate class of minerals (Q764802),,Tetragonal,,,La Fossa crater (Q23814805),,
18,aegirine,"Measured: 60° to 90°, Calculated: 68° to 84°",,,δ = 0.037 - 0.061,Aegirine (dark) with minor feldspar (light) from Malawi,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,"Good on {110}, (110) ^ (1 {{overline|1}} 0) ≈87°; parting on {100}",,Aegirine,monoclinic crystal system (Q624543),,65.1.3c.2,,"['Armenian Soviet Encyclopedia (Q2657718)', 'untitled note on aegirine (Q71971916)']",,Translucent to opaque,moderate to strong r > v,,"['science/acmite', 'science/aegirine']",,,Uneven,/m/06hx5z,,"['0100392', '0268401']",3.50 - 3.60,,"Prismatic crystals may be in sprays of acicular crystals, fibrous, in radial concretions",IMA1998 s.p.,approved mineral and/or valid name (A) (Q13406835),Aegirine,545.0,Vitreous to slightly resinous,2781052440,"['10552', '10558', '31']",6,,231.00 g/mol,Aegirine [Aeg],Ægir (Q204927),9.DA.25,9.DA.25,Biaxial (-),,"X = emerald green, deep green; Y = grass-green, deep green, yellow; Z = brownish green, green, yellowish brown, yellow",nα = 1.720 - 1.778 nβ = 1.740 - 1.819 nγ = 1.757 - 1.839,,,space group C2/c (Q103888918),ægirin,Yellowish-grey,,9.DA.25,VIII/F.01,pyroxenes (Q192880),''C2/c'',[[Monoclinic]],Brittle,Simple and lamellar twinning common on {100},"['Låven island (Q26825001)', 'Øvre Eiker (Q110311)']","a = 9.658, b = 8.795 <br/>c = 5.294&nbsp;[Å], β = 107.42°; Z&nbsp;=&nbsp;4",
19,aenigmatite,Measured: 27° to 55°,,,δ = 0.090 - 0.100,"Aenigmatite from Kangerdluarsuk, Greenland",Pinacoidal ( {{overline|1}} ) <br/><small>(same [[H-M symbol]])</small>,Good on {010} and {100},,Aenigmatite,triclinic crystal system (Q376927),,,,Mineralogische studien. 29. Kölbingit. Ainigmatit (Q63778281),"Sapphirine supergroup, single chain inosilicate mineral",Translucent to opaque,r < v; very strong,,,,,Uneven,/m/07hmtp,,,3.81,,"Poorly developed prismatic crystals, occurring as irregular clusters; pseudomonoclinic",IMA1967 s.p.,approved mineral and/or valid name (A) (Q13406835),,563.0,Vitreous to greasy,2778714271,"['33', '11709']",5.5,,,Aenigmatite [Aen],riddle (Q47054),9.DH.40,9.DH.45,Biaxial (+),,X = yellow brown; Y = red-brown; Z = dark brown to black,n<sub>α</sub> = 1.780 - 1.800 n<sub>β</sub> = 1.800 - 1.820 n<sub>γ</sub> = 1.870 - 1.900,,,,ænigmatitt,Reddish brown,brown (Q47071),9.DH.40,VIII/F.14,aenigmatite group (Q3777568),''P'' {{overline|1}},[[Triclinic]],Brittle,Complex by rotation perpendicular to (01 {{overline|1}} ) or about [010] of the pseudomonoclinic cell; polysynthetic,"['Naujakasik (Q28730436)', 'Kangerluarsuk fjord, Ilímaussaq (Q23835341)']","a = 10.415(1), b = 10.840(1) <br/>c = 8.931(1)&nbsp;[Å]; Z&nbsp;=&nbsp;2 <br/>α = 105.107(4)° <br/>β = 96.610(5)° <br/>γ = 125.398(4)°","Entity[""Mineral"", ""Aenigmatite""]"
20,aerinite,63° (calc.),300380248,,,Aerinite from [[Spain]],[[Inosilicate]],,,Aerinite,,,,,"Aërinit, ein neues mineral (Q98099226)",,translucent,δ = 0.07,,,,,,/m/07hn01,,0521569,2.48,,fibrous,IMA1988 s.p.,redefined mineral (Rd) (Q13406872),,,vitreous,2780674261,"['34', '11711']",3,,,Aerinite [Aer],sky blue (Q373160),9.DB.45,,Biaxial (-),,Intense; X = bright blue; Y = Z = pale beige,"n<sub>α</sub>1.510(5), n<sub>β</sub> = 1.560(5), n<sub>γ</sub> = 1.580",,,,,bluish white,,9.DB.45,,inosilicates (Q279440),''P3c1'',[[Trigonal]],,,,"a = 14.690(15), b = 16.872(15) <br/>c = 5.170(15)&nbsp;[Å]; β = 94.75°; Z&nbsp;=&nbsp;1","Entity[""Mineral"", ""Aerinite""]"
21,aerugite,,,,,,Hexagonal scalenohedral ( {{overline|3}} m) <br/>[[H-M symbol]]: ( {{overline|3}} 2/m),,,Aerugite,trigonal crystal system (Q588274),,,,,,Opaque to semitransparent,,,,,,,/m/07hn2j,,,5.85 - 5.95,,Massive to crystalline crusts,IMA1965 s.p.,approved mineral and/or valid name (A) (Q13406835),,,Adamantine,,"['36', '11715']",4,"{'amount': '+4', 'unit': '1'}",,Aerugite [Aru],verdigris (Q2351119),8.BC.15,8.BC.15,,,,,,,space group R-3m (Q15040834),,"light green, greenish white","['bright green (Q15141723)', 'light blue green (Q52681964)']",8.BC.15,VII/B.09,arsenate mineral (Q4796437),''R'' {{overline|3}} m,Trigonal,,,Johanngeorgenstadt (Q57903),,"Entity[""Mineral"", ""Aerugite""]"
22,aeschynite-(ce),,,01837386n,,,[[Oxide minerals]],None,,,orthorhombic crystal system (Q648961),08.03.06.01,,5.19,,Oxide mineral,Transparent to translucent,,,,,,[[Brittle]] - [[conchoidal]],/m/07hn6s,,,4.52,,"[[Acicular (crystal habit)|Acicular]], massive",IMA1987 s.p.,"approved mineral, renamed (Rn) (Q13406860)",,870.0,"[[Adamantine lustre|Adamantine]], resinous to [[wax]]y, sub-metallic; dull when altered",,,5 - 6,,305.70 g/mol,Aeschynite-(Ce) [Aes-Ce],"['shame (Q152282)', 'aeschynite (Q55237823)', 'cerium (Q1385)']",4.DF.05,4.DF.05,Isotropic when metamict,[[Image:Radioactive.svg|25px]] [[Radioactive]],,2.26,,,,,Nearly black to brown,,4.DF.05,IV/D.21,aeschynite (Q55237823),[[Orthorhombic]] <br/>[[H-M symbol]]: (2/m 2/m 2/m) <br/>[[Space group]]: ''Pmnb'',[[Orthorhombic]] <br/>Dipyramidal class,[[Brittle]],,Ilmen Nature Reserve (Q1861705),"a = 11.08, b = 7.56 <br/>c = 5.37&nbsp;[Å]; Z&nbsp;=&nbsp;4","Entity[""Mineral"", ""AeschyniteCerium""]"
23,aeschynite-(nd),,,01837472n,,,,,,,,,,,,,,,,,,,,/m/07hnct,,,,,,IMA1987 s.p.,approved mineral and/or valid name (A) (Q13406835),,872.0,,,,,,,,"['aeschynite (Q55237823)', 'neodymium (Q1388)']",4.DF.05,4.DF.05,,,,,,,,,,,,IV/D.21,aeschynite (Q55237823),,,,,Bayan Obo mine (Q812094),,"Entity[""Mineral"", ""AeschyniteNeodymium""]"
24,aeschynite-(y),,,,,"A fine, well-terminated, complete all-around aeschynite-(Y) crystal from [[Iveland]], Norway",Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m),,,Aeschynite-(Y),orthorhombic crystal system (Q648961),,,,,Rare earth mineral,,,,,,,,/m/07hngp,,,,,,IMA1987 s.p.,"approved mineral, renamed (Rn) (Q13406860)",,871.0,,2780906230,,,,,Aeschynite-(Y),"['aeschynite (Q55237823)', 'yttrium (Q941)']",4.DF.05,4.DF.05,,[[Image:Radioactive.svg|25px]] [[Radioactive]],,,,,,,,,4.DF.05,IV/D.21,aeschynite (Q55237823),''Pmnb'',[[Orthorhombic]],,,,,"Entity[""Mineral"", ""AeschyniteYttrium""]"
25,afghanite,,,,δ = 0.006,"'''Afghanite''' on [[marble]], Sar-e-Sang, [[Badakhshan]], Afghanistan. Size: 3.4 x 3.1 x 2.6 cm.",Ditrigonal pyramidal (3m) <br/>[[H-M symbol]]: (3m),Perfect {10 {{overline|1}} 0},,Afghanite,trigonal crystal system (Q588274),,76.2.5.1,,,Tectosilicate mineral,Transparent,,,,,,Conchoidal,/m/07hnpy,,,2.55 - 2.65,,"Lath shaped crystals, rounded grains",IMA1967-041,approved mineral and/or valid name (A) (Q13406835),,,Vitreous,2778995548,"['41', '11717']",5 {{frac|1|2}} - 6,,,Afghanite [Afg],Afghanistan (Q889),9.FB.05,9.FB.05,Uniaxial (+),[[Image:Radioactive.svg|25px]] [[Radioactive]] 2.28% (K),,n<sub>ω</sub> = 1.523 n<sub>ε</sub> = 1.529,,,space group P31c (Q15040827),,white,white (Q23444),9.FB.05,VIII/J.09,"['complex-sequence cancrinites (Q18013979)', 'zeolite frameworks (Q15889510)', 'gemstone (Q83437)']",''P31c'',[[Trigonal]],,,Ladjuar Medam (Q26452287),"a = 12.796, c = 21.409&nbsp;[Å]; Z&nbsp;=&nbsp;1","Entity[""Mineral"", ""Afghanite""]"
26,afmite,,,,,,,,,Afmite,triclinic crystal system (Q376927),,42.9.3.6,,,,,,,,,,,,/g/11bwptnm11,,,,,IMA2005-025a,approved mineral and/or valid name (A) (Q13406835),,,,,,,,,,French Association of Micromineralogy (Q24049359),8.DD.15,,,,,,,,space group P-1 (Q104519742),,,,,,phosphate class of minerals (Q3092395),,,,,Fumade (Q56677092),,
27,afwillite,Measured: 50° to 56°,,,δ = 0.0167,"Afwillite from Crestmore Quarry, [[Riverside County, California]]",Domatic (m) <br/><small>(same [[H-M symbol]])</small>,"Perfect along [10 {{overline|1}} ], good along [100]",,Afwillite,monoclinic crystal system (Q624543),,52.4.7.1,,"Afwillite, a new hydrous calcium silicate, from Dutoitspan mine, Kimberley, South Africa (Q63874694)",Nesosilicate alteration mineral also sometimes found in hydrated cement paste,Transparent to translucent,''r'' < ''v'',,,,,Conchoidal,/m/07jtb1,,,2.630,,"Prismatic (striated), tabular, radial fibrous, massive",,grandfathered mineral (G) (Q13406846),,,Vitreous,2776773092,"['42', '11719']",3–4,,,Afwillite [Afw],,9.AG.75,9.AG.75,Biaxial (+),Piezoelectric,,n<sub>α</sub> = 1.617 n<sub>β</sub> = 1.620 n<sub>γ</sub> = 1.634,,,,,White,white (Q23444),9.AG.75,VIII/B.22,spurrite-afwillite mineral group (Q12902797),''Cc'',[[Monoclinic]],Brittle,,,"a = 16.278(1), b = 5.6321(4) <br/>c = 13.236(1)&nbsp;[Å]; β = 134.9°; Z&nbsp;=&nbsp;4","Entity[""Mineral"", ""Afwillite""]"
28,agrellite,,,,δ = 0.014,Agrellite showing fluorescence in ultraviolet light,Pinacoidal ( {{overline|1}} ) <br/><small>(same [[H-M symbol]])</small>,perfect [110],,Agrellite,triclinic crystal system (Q376927),,,,,,translucent,,,,,,,/m/026d5s2,,,2.88,,"Lath - shaped like a small, thin plaster lath, rectangular in shape",IMA1973-032,approved mineral and/or valid name (A) (Q13406835),,,pearly,,"['57', '11733']",5.5,,,Agrellite [Are],Stuart Olof Agrell (Q7626925),9.DH.75,9.DH.75,biaxial,,,nα = 1.567 nβ = 1.579 nγ = 1.581,,,,,white,white (Q23444),9.DH.75,VIII/H.15,inosilicates (Q279440),''P'' {{overline|1}},[[Triclinic]],,,,,"Entity[""Mineral"", ""Agrellite""]"
29,agrinierite,,,,,,,,,Agrinierite,orthorhombic crystal system (Q648961),,5.5.1.1,,,,,,,,,,,/m/026cskt,,,,,,IMA1971-046,approved mineral and/or valid name (A) (Q13406835),,,,,,,,,Agrinierite [Agn],,4.GB.05,4.GB.05,,[[Image:Radioactive.svg|25px]] [[Radioactive]],,,,,,,,,,IV/H.02,hydroxide auxiliary subclass of minerals (Q13379369),,,,,,,"Entity[""Mineral"", ""Agrinierite""]"
