Unnamed: 0	name	category	formula	strunz	system	symmetry	unit cell	color	cleavage	fracture	mohs	luster	opticalprop	streak	gravity	diaphaneity	refractive	class	birefringence	habit
12	Adelite [Ade]	Adelite-descloizite group	CaMg(AsO<sub>4</sub>)(OH)	8.BH.35	Orthorhombic	P2<sub>1</sub>2<sub>1</sub>2<sub>1</sub>		Colourless, white, grey, bluish grey, yellowish grey, yellow, pale green, pinkish brown, brown	None Observed		5	Vitreous, Greasy	Biaxial (+), colorless (transmitted light)		3.73 to 3.79	Transparent, Translucent		2 2 2 - Disphenoidal		Elongate crystals, massive
13	Admontite [Amt]	Nesoborates	MgB<sub>6</sub>O<sub>10</sub>·7H<sub>2</sub>O or <br/>[[Magnesium|Mg]][[Boron|B]]<sub>6</sub>[[Oxygen|O]]<sub>7</sub>(O[[Hydrogen|H]])<sub>6</sub>·4H<sub>2</sub>O	6.FA.15	Monoclinic	''P''2<sub>1</sub>/c		colorless	Absent	Conchoidal - Fractures developed in brittle materials characterized by smoothly curving surfaces, (e.g. quartz)	2 - 3 - Gypsum-Calcite		Biaxial (-)	White			n<sub>α</sub> = 1.442 n<sub>γ</sub> = 1.504	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>	δ = 0.062	
14	Aegirine [Aeg]	Silicate mineral, pyroxene	{{sodium}} {{iron}} <sup>3+</sup>[ {{silicon}} <sub>2</sub> {{oxygen}} <sub>6</sub>]	9.DA.25	Monoclinic	''C2/c''	a = 9.658, b = 8.795 <br/>c = 5.294&nbsp;[Å], β = 107.42°; Z&nbsp;=&nbsp;4	Dark Green, Greenish Black	Good on {110}, (110) ^ (1 {{overline|1}} 0) ≈87°; parting on {100}	Uneven	6	Vitreous to slightly resinous	Biaxial (-)	Yellowish-grey	3.50 - 3.60	Translucent to opaque	nα = 1.720 - 1.778 nβ = 1.740 - 1.819 nγ = 1.757 - 1.839	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>	δ = 0.037 - 0.061	Prismatic crystals may be in sprays of acicular crystals, fibrous, in radial concretions
15	Aenigmatite [Aen]	Inosilicates	Na<sub>2</sub>Fe<sup>2+</sup><sub>5</sub>TiSi<sub>6</sub>O<sub>20</sub>	9.DH.40	Triclinic	''P'' {{overline|1}}	a = 10.415(1), b = 10.840(1) <br/>c = 8.931(1)&nbsp;[Å]; Z&nbsp;=&nbsp;2 <br/>α = 105.107(4)° <br/>β = 96.610(5)° <br/>γ = 125.398(4)°	Velvet-black	Good on {010} and {100}	Uneven	5.5	Vitreous to greasy	Biaxial (+)	Reddish brown	3.81	Translucent to opaque	n<sub>α</sub> = 1.780 - 1.800 n<sub>β</sub> = 1.800 - 1.820 n<sub>γ</sub> = 1.870 - 1.900	Pinacoidal ( {{overline|1}} ) <br/><small>(same [[H-M symbol]])</small>	δ = 0.090 - 0.100	Poorly developed prismatic crystals, occurring as irregular clusters; pseudomonoclinic
16	Aerinite [Aer]	Inosilicate	Ca<sub>4</sub>(Al,Fe,Mg)<sub>10</sub>Si<sub>12</sub>O<sub>35</sub>(OH)<sub>12</sub>CO<sub>3</sub>·12H<sub>2</sub>O	9.DB.45	Trigonal	''P3c1''	a = 14.690(15), b = 16.872(15) <br/>c = 5.170(15)&nbsp;[Å]; β = 94.75°; Z&nbsp;=&nbsp;1	Blue to blue-green			3	vitreous	Biaxial (-)	bluish white	2.48	translucent	n<sub>α</sub>1.510(5), n<sub>β</sub> = 1.560(5), n<sub>γ</sub> = 1.580			fibrous
17	Aerugite [Aru]	Arsenate minerals	Ni<sub>9</sub>(AsO<sub>4</sub>)<sub>2</sub>AsO<sub>6</sub>	8.BC.15	Trigonal	''R'' {{overline|3}} m		Grass green, blue-green			4	Adamantine		light green, greenish white	5.85 - 5.95	Opaque to semitransparent		Hexagonal scalenohedral ( {{overline|3}} m) <br/>[[H-M symbol]]: ( {{overline|3}} 2/m)		Massive to crystalline crusts
18	Aeschynite-(Ce) [Aes-Ce]	Oxide minerals	(Ce,Ca,Fe,Th)(Ti,Nb)<sub>2</sub>(O,OH)<sub>6</sub>	4.DF.05	Orthorhombic  Dipyramidal class	[[Orthorhombic]] <br/>[[H-M symbol]]: (2/m 2/m 2/m) <br/>[[Space group]]: ''Pmnb''	a = 11.08, b = 7.56 <br/>c = 5.37&nbsp;[Å]; Z&nbsp;=&nbsp;4	Brown, light brown, brownish black, yellow, black	None	[[Brittle]] - [[conchoidal]]	5 - 6	[[Adamantine lustre|Adamantine]], resinous to [[wax]]y, sub-metallic; dull when altered	Isotropic when metamict	Nearly black to brown	4.52	Transparent to translucent	2.26			[[Acicular (crystal habit)|Acicular]], massive
20	Aeschynite-(Y)	Oxide mineral	(Y,Ca,Fe,Th)(Ti,Nb)<sub>2</sub>(O,OH)<sub>6</sub>	4.DF.05	Orthorhombic	''Pmnb''												Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m)		
21	Afghanite [Afg]	Tectosilicate 	(Na,K)<sub>22</sub>Ca<sub>10</sub>[Si<sub>24</sub>Al<sub>24</sub>O<sub>96</sub>](SO<sub>4</sub>)<sub>6</sub>Cl<sub>6</sub>	9.FB.05	Trigonal	''P31c''	a = 12.796, c = 21.409&nbsp;[Å]; Z&nbsp;=&nbsp;1	light blue, dark blue	Perfect {10 {{overline|1}} 0}	Conchoidal	5 {{frac|1|2}} - 6	Vitreous	Uniaxial (+)	white	2.55 - 2.65	Transparent	n<sub>ω</sub> = 1.523 n<sub>ε</sub> = 1.529	Ditrigonal pyramidal (3m) <br/>[[H-M symbol]]: (3m)	δ = 0.006	Lath shaped crystals, rounded grains
22	Afwillite [Afw]	Nesosilicates	Ca<sub>3</sub>(SiO<sub>3</sub>OH)<sub>2</sub>·2H<sub>2</sub>O	9.AG.75	Monoclinic	''Cc''	a = 16.278(1), b = 5.6321(4) <br/>c = 13.236(1)&nbsp;[Å]; β = 134.9°; Z&nbsp;=&nbsp;4	Colorless, white	Perfect along [10 {{overline|1}} ], good along [100]	Conchoidal	3–4	Vitreous	Biaxial (+)	White	2.630	Transparent to translucent	n<sub>α</sub> = 1.617 n<sub>β</sub> = 1.620 n<sub>γ</sub> = 1.634	Domatic (m) <br/><small>(same [[H-M symbol]])</small>	δ = 0.0167	Prismatic (striated), tabular, radial fibrous, massive
23	Agardite-(Y) agardite-(Ce) agardite-(Nd) agardite-(La)	Arsenate minerals	(REE,Ca)Cu<sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O	8.DL.15	Hexagonal crystal system,Hexagonal	''P''6<sub>3</sub>/m <br/>(agardite-(La): unknown space group)	''a'' = 13.59, ''c'' = 5.89&nbsp;[Å], ''Z''&nbsp;=&nbsp;2	Yellow green	None	Conchoidal	3–4	Vitreous		Greenish white	3.7 (measured), 3.775 (calculated)		''n''<sub>ω</sub> = 1.725, ''n''<sub>ε</sub> = 1.81	Dipyramidal (6/m) <br/>[[H–M symbol]]: (6/m)	0.085	Acicular
24	Agrellite [Are]	Inosilicates	NaCa<sub>2</sub>Si<sub>4</sub>O<sub>10</sub>F	9.DH.75	Triclinic	''P'' {{overline|1}}		White, grayish-white, greenish-white	perfect [110]		5.5	pearly	biaxial	white	2.88	translucent	nα = 1.567 nβ = 1.579 nγ = 1.581	Pinacoidal ( {{overline|1}} ) <br/><small>(same [[H-M symbol]])</small>	δ = 0.014	Lath - shaped like a small, thin plaster lath, rectangular in shape
25	Agrinierite [Agn]																			
26	Aguilarite [Agu]	Sulfosalt minerals	Ag<sub>4</sub>SeS	2.BA.55	Monoclinic	''P''2<sub>1</sub>/n {{sfn|Bindi|Pingitore|2013|p|=|21}}	a = 4.2478(2), b =6.9432(3) <br/>c = 8.0042(5)&nbsp;[Å] <br/>β = 100.103(2)° <br/>Z&nbsp;=&nbsp;4 {{sfn|Bindi|Pingitore|2013|p|=|21}}	Bright lead-gray on fresh surfaces; dull iron-black on exposure to air.	None observed	[[Fracture (mineralogy)#Hackly fracture|Hackly]]	2.5 1–1.5 {{sfn|Bindi|Pingitore|2013|p|=|21}}	Metallic		Gray-black		Opaque		Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small> {{sfn|Bindi|Pingitore|2013|p|=|21}}		
27	Aheylite [Ahe]	Phosphate minerals	(Fe<sup>2+</sup>,Zn)Al<sub>6</sub>(OH)<sub>8</sub>(PO<sub>4</sub>)<sub>4</sub>·4(H<sub>2</sub>O)	8.DD.15	Triclinic  Unknown space group		a = 7.885, b = 10.199 <br/>c = 7.672&nbsp;[Å]; α = 110.84° <br/>β = 115.12°, γ = 67.51°; Z&nbsp;=&nbsp;1	Very pale blue, pale green, to blue-green	Perfect {001}, {010} good	Hackly to splintery	5 to 5.5	Porcelaneous to subvitreous	Biaxial (+)	White to greenish white	2.84	Transparent in thin flakes	~1.63			Interlocked crystals in felted and matted aggregates forming botryoidal, spherulitic masses; radiating, prismatic groups
28	Ahlfeldite [Afe]	Selenite mineral	(Ni,Co)SeO<sub>3</sub>·2H<sub>2</sub>O	4.JH.10	Monoclinic	''P''2<sub>1</sub>/m												Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>		
29	Aikinite [Aki]	Sulfide mineral	[[lead|Pb]][[copper|Cu]][[bismuth|Bi]][[sulfur|S]]<sub>3</sub>	2.HB.05a	Orthorhombic	''Pnma''	a = 11.297, b = 11.654 <br/>c = 4.061&nbsp;[Å], Z&nbsp;=&nbsp;4	Lead gray, grayish black, reddish brown	{010} indistinct		2-2.5	Metallic		Grayish black	6.1–6.8, Average = 6.44	Opaque		Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m)		Acicular, massive
30	Ajoite [Aj]	Silicate mineral	(Na,K)Cu<sub>7</sub>AlSi<sub>9</sub>O<sub>24</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O	9.EA.70 (10 ed) <br /><small>8/D.07-10 (8 ed)</small>	Triclinic	''P'' {{overline|1}}	a = 13.63, b = 14.5 <br/>c = 13.62&nbsp;[Å]; α = 107.16° <br/>β = 105.45°, γ = 110.57°; Z&nbsp;=&nbsp;1	Bluish green	Perfect on {{mset|010}}		{{frac|3|1|2}}	Vitreous	Biaxial (+)	Greenish white	2.96	Translucent	n<sub>α</sub> = 1.550, n<sub>β</sub> = 1.583, n<sub>γ</sub> = 1.641	Pinacoidal ( {{overline|1}} ) <br/><small>(same [[H-M symbol]])</small>	δ = 0.091	Sprays of bladed prismatic crystals
31	Akaganeite [Akg]	Oxide mineral	Fe<sup>3+</sup>O(OH,Cl)	4.DK.05	Monoclinic	''I2/m''	a = 10.561, b = 3.031 <br/>c = 10.483&nbsp;[Å]; β = 90.63°; Z&nbsp;=&nbsp;1	Yellowish brown, rusty brown				Earthy		Brownish yellow	3.52	Transparent, translucent		Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>		
34	Åkermanite [Åk]	Sorosilicates	Ca<sub>2</sub>Mg(Si<sub>2</sub>O<sub>7</sub>)	9.BB.10	Tetragonal crystal system,Tetragonal	''P'' {{overline|4}} 2<sub>1</sub>m	a = 7.8288(8) <br/>c = 5.0052(2)&nbsp;[Å]; Z&nbsp;=&nbsp;2	Colorless, yellowish gray, green, brown	Distinct on {001}, poor on {110}	Irregular/ uneven, conchoidal	5 - 6	Vitreous, resinous	Uniaxial (+)	White	2.944	Transparent, translucent	n<sub>ω</sub> = 1.632 n<sub>ε</sub> = 1.640	Scalenohedral ( {{overline|4}} 2m) <br/>[[H-M symbol]]: ( {{overline|4}} 2m)	δ = 0.008	
35	Akhtenskite [Akh]	Oxide mineral	MnO<sub>2</sub>	4.DB.15b	Hexagonal crystal system,Hexagonal  Dihexagonal dipyramidal class	Hexagonal <br/>[[H-M symbol]]: (6/m 2/m 2/m) <br/>[[Space group]]: ''P''6<sub>3</sub>/mmc	a = 2.84, c = 4.6&nbsp;[Å]; Z&nbsp;=&nbsp;1	Light gray to black	Distinct on {001}				Uniaxial	Black	4.78 (calculated)	Opaque				Flaky polycrystalline aggregates
36	Akimotoite	Oxide minerals  Ilmenite group	(Mg,Fe)SiO<sub>3</sub>	4.CB.05	Trigonal	''R'' {{overline|3}}	a = 4.7284, c = 13.5591&nbsp;[Å]; Z&nbsp;=&nbsp;6	Colorless	perfect (0001)			[[vitreous lustre|vitreous]]		white or colorless	3.81(calculated)	Transparent		Rhombohedral ( {{overline|3}} ) <br/>[[H-M symbol]]: ( {{overline|3}} )		
37	Akrochordite	Phosphate minerals	(Mn,Mg)<sub>4</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub><sup>.</sup>4H<sub>2</sub>O	8.DD.10	Monoclinic	''P''2<sub>1</sub>/c		Yellowish red-brown, pale to dark brown, pale pink	Perfect. On {010} , perfect; a second, perpendicular to the first.		{{frac|3|1|2}}	Sub-Vitreous, resinous, dull				Translucent		Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>		
38	Aksaite	Nesoborates	[[magnesium|Mg]] [[boron|B]]<sub>6</sub>[[oxygen|O]]<sub>7</sub>([[hydroxide|OH]])<sub>6</sub>]·2[[hydrogen|H]]<sub>2</sub>O	6.FA.05	Orthorhombic  Dipyramidal class	Orthorhombic <br/>[[H-M symbol]]: (2/m 2/m 2/m) <br/>[[Space group]]: ''P''bca		Colorless, white to pale grey	Distinct/Good; Probable on {100} and {010}		2.5		Biaxial (-)	White		Transparent to translucent			δ = 0.055	
39	Aktashite	Sulfosalt	Cu<sub>6</sub>Hg<sub>3</sub>As<sub>4</sub>S<sub>12</sub>	2.GA.30	Trigonal	''R3''												Pyramidal (3) <br/>[[H-M symbol]]: (3)		
41	Alacranite	Sulfide mineral	As<sub>8</sub>S<sub>9</sub>	2.FA.20	Monoclinic	''P2/c''	a = 9.942, b = 9.601 <br/>c = 9.178&nbsp;[Å]; β = 101.94°; Z&nbsp;=&nbsp;2	Orange to pale gray, rose-yellow internal reflections	Imperfect on {100}		1.5	Vitreous, resinous, greasy	Biaxial (+)	Yellow-orange	3.4 - 3.46	Transparent to translucent	n<sub>α</sub> = 2.390(1) n<sub>γ</sub> = 2.520(2)	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>	0.1300	Equant grains
42	Alamosite	Inosilicates	[[lead|Pb]]<sub>12</sub>[[silicon|Si]]<sub>12</sub>[[oxygen|O]]<sub>36</sub>	9.DO.20	Monoclinic	''P''2/c	a = 11.209, b = 7.041 <br/>c = 12.22&nbsp;[Å]; β = 113.15°; Z&nbsp;=&nbsp;12	Colorless	{010} perfect		4.5	Adamantine	Biaxial (-)	White	6.49	Transparent to translucent	n<sub>α</sub> = 1.947, n<sub>β</sub> = 1.961, n<sub>γ</sub> = 1.968	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>	δ = 0.021	
43	Alarsite				trigonal	''P3<sub>1</sub>21'' (no. 152) or ''P3<sub>2</sub>21'' (no. 154)		colorless with pale yellow tints			5-5.5	vitreous luster			3.32.		nω = 1.596 and nε = 1.608.	aluminium arsenate		
44	Albite	plagioclase, feldspar, tectosilicate	{{chem|NaAlSi|3|O|8}} or {{chem|Na|1.0–0.9|Ca|0.0–0.1|Al|1.0–1.1|Si|3.0–2.9|O|8}}	9.FA.35	Triclinic	''C'' {{overline|1}}	{{ubl|a |=| 8.16, b = 12.87|c |=| 7.11&nbsp;[Å]; α = 93.45°|β |=| 116.4°, γ = 90.28°; Z&nbsp;=&nbsp;4}}	White to gray, blueish, greenish, reddish; may be [[chatoyant]]	Perfect on {001}, very good on {010}, imperfect on {110}	Uneven to conchoidal	6–6.5	Vitreous, typically pearly on cleavages	Biaxial (+)	White	2.60–2.65	Transparent to translucent	n<sub>α</sub> = 1.528–1.533 n<sub>β</sub> = 1.532–1.537 n<sub>γ</sub> = 1.538–1.542	{{ubl|Pinacoidal (|overline|1|)|(same [[H-M symbol]])}} {{overline|1}} )	δ = 0.010	Crystals commonly tabular, divergent aggregates, granular, cleavable massive
46	Aldermanite	Phosphate minerals									2				2.1					
47	Aleksite	sulfosalt mineral	PbBi2Te2S2		Trigonal	''P {{overline|3}} m1'' (no. 164)					2.5	metallic		pale green	7.80			3m		
48	Alforsite	Phosphate minerals  Apatite group	Ba<sub>5</sub>(PO<sub>4</sub>)<sub>3</sub>Cl	8.BN.05	Hexagonal crystal system,Hexagonal	''P''6<sub>3</sub>/m	a = 10.25, c = 7.64&nbsp;[Å]; <br/>Z&nbsp;=&nbsp;2	Colorless			5	Vitreous	Uniaxial (-)	White	4.73 - 4.80	Semitransparent	n<sub>ω</sub> = 1.700 n<sub>ε</sub> = 1.700	Dipyramidal (6/m) <br/>[[H-M symbol]]: (6/m)	δ = 0.000	Subhedral, fine grained masses
49	Algodonite	Sulfide mineral	Cu<sub>6</sub>As	2.AA.10a	Hexagonal crystal system,Hexagonal	''P''6<sub>3</sub>/mmc	a = 2.6, c = 4.228&nbsp;[Å]; Z&nbsp;=&nbsp;2	Gray, silver white, steel gray, tarnishes dull bronze		Sub-conchoidal	4	Metallic			8.38 (measured), 8.72 (calculated)	Opaque		Dihexagonal dipyramidal (6/mmm) <br/>[[H-M symbol]]: (6/m 2/m 2/m)		Massive, granular. Common texture observed in granite and other igneous rock
50	Aliettite	Phyllosilicates		9.EC.60	Hexagonal crystal system,Hexagonal  Unknown space group		a = 5.216, c = 24.6&nbsp;[Å]; Z&nbsp;=&nbsp;1	Colorless, pale yellow or green.			1–2	Earthy (dull)		White		Translucent	1.558–1.567			Platy
51	Allabogdanite	Phosphide mineral	(Fe,Ni)<sub>2</sub>P	1.BD.15	Orthorhombic	''Pnma''	a = 5.748, b = 3.548 <br/>c = 6.661&nbsp;[Å]; Z&nbsp;=&nbsp;4	Light straw-yellow			5-6	Metallic			7.11	Opaque		Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m)		Minute exolution laminae in [[plessite]]
52	Allactite	Arsenate mineral	Mn<sub>7</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>8</sub>	8.BE.30	Monoclinic	''P''2<sub>1</sub>/a	a = 11.03, b = 12.12 <br/>c = 5.51&nbsp;[Å], β = 114°, Z&nbsp;=&nbsp;2	Brown, dark to light purplish red, brownish red, colorless to white	Distinct, {001}	Uneven	4.5	Vitreous, slightly greasy on fracture surfaces	Biaxial (-)	Gray to faint brown	3.83 (meas.), 3.94 (calc.)		n<sub>α</sub> = 1.755–1.761<br/> n<sub>β</sub> = 1.772–1.786<br/> n<sub>γ</sub> = 1.774–1.787	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>		Elongated prisms, bladed, tabular, rosette-like aggregates
53	Allanite	Sorosilicates	(Ce,Ca,Y,La)<sub>2</sub>(Al,Fe<sup>+3</sup>)<sub>3</sub>(SiO<sub>4</sub>)<sub>3</sub>(OH)	9.BG.05b	Monoclinic	''P''2<sub>1</sub>/m	''a'' = 8.927, ''b'' = 5.761 <br/>''c'' = 10.15&nbsp;[Å]; β = 114.77°; ''Z''&nbsp;=&nbsp;2	Brown to black	Imperfect to poor	Conchoidal to uneven	5.5–6	Vitreous, resinous to submetallic	Biaxial (−)	Grey	3.5–4.2	Translucent to opaque	''n''<sub>α</sub> = 1.715–1.791, ''n''<sub>β</sub> = 1.718–1.815, ''n''<sub>γ</sub> = 1.733–1.822	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>	δ = 0.018–0.031	Crystals tabular, prismatic to acicular; granular, massive; commonly metamict
54	Allanpringite	Phosphate mineral	Fe<sup>3+</sup><sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>3</sub>·5H<sub>2</sub>O	8.DC.50	Monoclinic	''P''2<sub>1</sub>/n	a = 9.777, b = 7.358 <br/>c = 17.83&nbsp;[Å]; β = 92.19°; Z&nbsp;=&nbsp;4	Pale brownish yellow	{hk0} perfect, {010} good	Irregular/uneven	3	Vitreous	Biaxial (+)	Pale yellowish white	2.54 (meas.), 2.583 (calc.)	Translucent to transparent	n<sub>α</sub> = 1.662<br/> n<sub>β</sub> = 1.675<br/> n<sub>γ</sub> = 1.747	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>	0.085	Acicular
55	Allargentum	Sulfide mineral	Ag<sub>1−x</sub>Sb<sub>x</sub>	2.AA.30	Hexagonal	''P''6<sub>3</sub>/mmc	a = 2.945, c = 4.77&nbsp;[Å], Z&nbsp;=&nbsp;2	Silver gray			4	Metallic			10.0 (meas.), 10.12 (calc.)	Opaque		Dihexagonal dipyramidal (6/mmm) <br/>[[H-M symbol]]: (6/m 2/m 2/m)		
56	Alleghanyite	Nesosilicates  Humite mineral group,Humite group	Mn<sub>5</sub>(SiO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>	9.AF.45	Monoclinic	''P''2<sub>1</sub>/a	a = 10.46, b = 4.86 <br/>c = 8.3&nbsp;[Å]; β = 109.133°; Z&nbsp;=&nbsp;2	Brown, bright pink, grayish pink, white	None	Conchoidal	5–6	Vitreous	Biaxial (-)		4 (meas.), 4.11 (calc.)	Transparent to translucent	n<sub>α</sub> = 1.756<br/> n<sub>β</sub> = 1.78<br/> n<sub>γ</sub> = 1.792	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>	0.036	Granular; anhedral to subhedral crystals in matrix
58	Alluaivite	Silicate mineral, Cyclosilicate	Na<sub>19</sub>(Ca,Mn)<sub>6</sub>(Ti,Nb)<sub>3</sub>Si<sub>26</sub>O<sub>74</sub>Cl·2H<sub>2</sub>O	9.CO.10 (10 ed) <br/><small>8/E.25-40 (8 ed)</small>	Trigonal	''R'' {{overline|3}} m	a = 14.04, c = 60.6&nbsp;[Å]; Z&nbsp;=&nbsp;6	Colorless to weak brownish pink	None	Conchoidal	5-6	Vitreous	Uniaxial (+)	White		Transparent	nω=1.62, nε=1.63 (approximated)	Hexagonal scalenohedral ( {{overline|3}} m) <br/>[[H-M symbol]]: ( {{overline|3}} 2/m)		irregular accumulations
