,Chemical Formula,Composition,Empirical Formula,Environment,IMA Status,Locality,Name Origin,Name Pronunciation,Synonym,Cell Dimensions,Cleavage,Color,Density,Diaphaneity,Fracture,Habit,Hardness,Luster,Fermion Index,Photoelectric,Radioactivity,Dana Class,Strunz Class,References,Mineral name,Streak,Gladstone-Dale,Optical Data
130, AlTaO4, Molecular Weight = 271.93 gm, AlTaO4, In albitized areas of highly fractionated rare element-enriched granite pegmatites., Approved IMA 1981," From an undisclosed locality [Leshaia pegmatite, Vuoiyarvi carbonatite complex] on the Kola Peninsula, Russia. In the Mdara mine, Bikita, Zimbabwe. From the Alta fo Giz pegmatite, near Link to MinDat.org Location Data.", For ALUMinum and TANTalum in the composition., Alumotantite + Pronunciation, ICSD 67676," a = 4.473, b = 11.308, c = 4.775, Z = 4; V = 241.52 Den(Calc)= 7.48", None," Colorless, White.",, Transparent,,, 7.5 - Garnet, Adamantine," Fermion Index = 0.0001928186
Boson Index = 0.9998071814"," PEAlumotantite = 789.89 barns/electron
U=PEAlumotantite x rElectron Density=5,127.74 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Alumotantite is Not Radioactive"," 08.01.07.01 (08)Multiple Oxides with Nb, Ta, and Ti"," 04.DB.55 04 - OXIDES (Hydroxides, V[5,6] vanadates, arsenites, antimonites, bismuthites, sulfites, selenites, tellurites, iodate"," NAME( AntBidBlaNic3) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(AntBidBlaNic3)",Alumotantite, white," CI calc= 0.172 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1337,KC= 0.1615
Ncalc = 2.21"," Biaxial (-), a=2, b=2, g=2, bire=0.0000, 2V(Calc)=0, 2V(Meas)=66."
131," (W,Al)(O,OH)3 (?)", Molecular Weight = 216.36 gm, W0.9Al0.1O2.8(OH)0.2, Originally reported as the aluminum analog of ferritungstite., Approved IMA 1971," Kramat Pulai mine, Kinta district, Perak, Malaysia. Link to MinDat.org Location Data.", Named for the composition., Alumotungstite + Pronunciation,," a = 10.2, Z = 8; V = 1,061.21 Den(Calc)= 2.71",, Greenish yellow.,,,, Microscopic Crystals - Crystals visible only with microscopes.,,," Fermion Index = 0.1
Boson Index = 0.9"," PEAlumotungstite = 969.30 barns/electron
U=PEAlumotungstite x rElectron Density=2,236.32 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Alumotungstite is Not Radioactive", 04.05.04.01 (04)Simple Oxides," 04.DH.15 04 - OXIDES (Hydroxides, V[5,6] vanadates, arsenites, antimonites, bismuthites, sulfites, selenites, tellurites, iodate"," NAME( Dana8) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Dana8)",Alumotungstite, yellow," CI calc= -0.924 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.3321,KC= 0.1726
Ncalc = 1.47"," Isotropic, n=1.9."
132," Na0,5(Al,Mg)6(Si,Al)8O18(OH)12•5(H2O)", Molecular Weight = 973.76 gm, Na0.5Al4Mg2Si7AlO18(OH)12•5(H2O)," Hydrothermal alteration product of tuffs, andesites, sediments, and so on.", Approved IMA 1963," Al-tosudite - Alushta, Crimea, Russia. Mg-tosudite - Kamakita mine, Aomori Prefecture, Japan. Li-tosudite - Himalaya pegmatite, San Diego County, Californina, USA. Link to MinDat.org Location Data."," Named for Toshio Sudo (1911-), Japanese mineralogist and crystallographer, University of Tokyo, Japan.", Tosudite, Alushtite," a = 5, b = 8.9, c = 29.8, Z = 2; V = 1,326.10 Den(Calc)= 2.44", {001} Perfect," Azure, Blue white, Green, Yellow, White.", 2.42,,, Massive - Lamellar - Distinctly foliated fine-grained forms., 1-2 - Between Talc and Gypsum, Vitreous (Glassy)," Fermion Index = 0.01
Boson Index = 0.99"," PETosudite = 1.36 barns/electron
U=PETosudite x rElectron Density= 3.37 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Tosudite is Not Radioactive", 71.04.02.04 (71)Phyllosilicate Sheets of Six-Membered Rings, 09.EC.60 09 - SILICATES (Germanates)," NAME( Dana8) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Dana8)",Tosudite, white," CI meas= -0.045 (Good) - where the CI = (1-KPDmeas/KC)
CI calc= -0.037 (Excellent) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2414,KPDmeas= 0.2434,KC= 0.2328
Ncalc = 1.56 - 1.57"," Biaxial (-), a=1.542-1.564, b=1.57, g=1.548-1.74, bire=0.0060-0.1760"
133," (Zn,Ni)Al4(VO3)2(OH)12•2(H2O)", Molecular Weight = 609.64 gm, Zn0.75Ni0.25Al4(VO3)2(OH)12•2(H2O), Oxidation zone of a vanadiferous clay-anthraxolite horizon., Approved IMA 1959," Several mines of the Kurumsak and Balasauskandyk districts, northwestern Kara-Tau Mountains, Kazakhstan. Link to MinDat.org Location Data.", Named for the ALuminum and VANadium in the composition., Alvanite, ICSD 69459," a = 17.808, b = 5.132, c = 8.881, Z = 2; beta = 92.11° V = 811.09 Den(Calc)= 2.50", {010} Perfect," Bluish green, Blue black, Black."," 2.41 - 2.49, Average = 2.45",,,, 3-3.5 - Calcite-Copper Penny, Vitreous (Glassy)," Fermion Index = 0.0042439242
Boson Index = 0.9957560758"," PEAlvanite = 8.48 barns/electron
U=PEAlvanite x rElectron Density= 21.12 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Alvanite is Not Radioactive"," 42.13.13.01 (42)Hydrated Phosphates, etc., Containing Hydroxyl or Halogen"," 08.FE.05 08 - PHOSPHATES, ARSENATES, VANADATES"," NAME( AntBidBlaNic4) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Alvanite, gray," CI meas= -0.169 (Poor) - where the CI = (1-KPDmeas/KC)
CI calc= -0.146 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2744,KPDmeas= 0.28,KC= 0.2394
Ncalc = 1.58 - 1.6"," Biaxial (-), a=1.658, g=1.714, bire=0.0560, 2V(Meas)=80-85."
134," (Fe++,Mg)(OH)2", Molecular Weight = 83.46 gm, Fe2+0.7Mg0.2Mn2+0.1(OH)2, Noted in a drill core as thin veins and pockets in kimberlite., Approved IMA 1962," Lucky Eastern kimberlite pipe, [Udachnaya pipe, Daldyn-Alakit region, Yakutia], Russia. Link to MinDat.org Location Data."," Named for the Amakin Expedition, which prospected the Yakutain diamond deposits.", Amakinite + Pronunciation,," a = 6.917, c = 14.52, Z = 12; V = 601.63 Den(Calc)= 2.76", {???} Indistinct," Yellow green, Light green."," 2.925 - 2.98, Average = 2.95", Transparent, Uneven - Flat surfaces (not cleavage) fractured in an uneven pattern.," Irregular Grains - Occurs as splotchy, anhedral crystals forming inclusions in other minerals or rocks.", 3.5-4 - Copper Penny-Fluorite, Pearly," Fermion Index = 0.01
Boson Index = 0.99"," PEAmakinite = 15.67 barns/electron
U=PEAmakinite x rElectron Density= 45.56 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Amakinite is Not Radioactive", 06.02.01.02 (06)Hydroxides and Oxides Containing Hydroxyl," 04.FE.05 04 - OXIDES (Hydroxides, V[5,6] vanadates, arsenites, antimonites, bismuthites, sulfites, selenites, tellurites, iodate"," NAME( AntBidBlaNic1) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Amakinite,," CI meas= -0.086 (Poor) - where the CI = (1-KPDmeas/KC)
CI calc= -0.162 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2589,KPDmeas= 0.242,KC= 0.2227
Ncalc = 1.61 - 1.66"," Uniaxial (+), w=1.707, e=1.722, bire=0.0150."
135, Ag2Hg3, Molecular Weight = 817.51 gm, Ag2Hg3, Base metal ore deposits with oxidisable mercury sulfides., Not Approved IMA," Germany, Sweden. Link to MinDat.org Location Data."," Named for the Medieval Latin ""amalgama"" for a mercury-metal alloy, generally when the other metal is silver.", Amalgam, Kongsbergite," a = 9.9, Z = 10; V = 970.30 Den(Calc)= 13.99", {???} Indistinct, White.," 13.75 - 14.1, Average = 13.92", Opaque, Malleable - Deforms rather than breaking apart with a hammer., Massive - Uniformly indistinguishable crystals forming large masses., 3-3.5 - Calcite-Copper Penny, Metallic," Fermion Index = 0.22
Boson Index = 0.78"," PEAmalgam =1,348.65 barns/electron
U=PEAmalgam x rElectron Density=15417.13 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Amalgam is Not Radioactive", 01.01.08.00 (01)Native Elements," 01.AD.00 01 - ELEMENTS (Metals and intermetallic alloys; metalloids and nonmetals; carbides, silicides, nitrides, phosphides)", PHYS. PROP.(Dana),Amalgam, white,,
136, Fe+++(SO4)(OH)•3(H2O), Molecular Weight = 222.96 gm, Fe3+(SO4)(OH)•3(H2O), Secondary mineral formed especially in arid climates., Valid Species (Pre-IMA) 1888," Compania mine, east of Sierra Gorda, Chile. Link to MinDat.org Location Data."," Named from the Greek for amaranth, an imaginary purplish red undying flower, for its color.", Amarantite + Pronunciation, ICSD 9649," a = 8.9, b = 11.56, c = 6.64, Z = 4; alpha = 95.635°, beta = 90.985°, gamma = 97.625° V = 673.74 Den(Calc)= 2.20"," {010} Perfect, {100} Perfect"," Brown red, Orange red, Pink, Red."," 2.189 - 2.286, Average = 2.23", Transparent,,, 2.5 - Finger Nail, Vitreous (Glassy)," Fermion Index = 0.0066690089
Boson Index = 0.9933309911"," PEAmarantite = 8.16 barns/electron
U=PEAmarantite x rElectron Density= 18.19 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Amarantite is Not Radioactive", 31.09.03.01 (31)Hydrated Sulfates Containing Hydroxyl or Halogen," 07.DB.30 07 - SULFATES (SELENATES, TELLURATES)"," NAME( AntBidBlaNic5) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Amarantite, yellow," CI meas= 0.052 (Good) - where the CI = (1-KPDmeas/KC)
CI calc= 0.035 (Excellent) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2629,KPDmeas= 0.2585,KC= 0.2725
Ncalc = 1.6 - 1.62"," Biaxial (-), a=1.516, b=1.598, g=1.621, bire=0.1050, 2V(Calc)=52, 2V(Meas)=30."
137, NaFe+++(SO4)2•6(H2O), Molecular Weight = 379.06 gm, NaFe3+(SO4)2•6(H2O), Oxidation zones of sulfide deposits., Valid Species (Pre-IMA) 1933," Tierra Amarilla, southeast of Copiapo, Atacama, Chile Link to MinDat.org Location Data.", Named for the locality., Amarillite + Pronunciation, ICSD 69132," a = 8.419, b = 10.8409, c = 12.4717, Z = 4; beta = 95.495° V = 1,133.06 Den(Calc)= 2.22", {110} Good," Greenish yellow, Light yellow.", 2.19, Transparent," Conchoidal - Fractures developed in brittle materials characterized by smoothly curving surfaces, (e.g. quartz).",, 2.5-3 - Finger Nail-Calcite, Vitreous - Adamantine," Fermion Index = 0.0046807815
Boson Index = 0.9953192185"," PEAmarillite = 5.42 barns/electron
U=PEAmarillite x rElectron Density= 12.24 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Amarillite is Not Radioactive", 29.05.03.02 (29)Hydrated Acid and Sulfates," 07.CC.75 07 - SULFATES (SELENATES, TELLURATES)"," NAME( AntBidBlaNic5) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Amarillite, white," CI meas= -0.007 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= 0.007 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.252,KPDmeas= 0.2554,KC= 0.2536
Ncalc = 1.56"," Biaxial (+), a=1.532, b=1.555, g=1.591, bire=0.0590"
138, KAlSi3O8, Molecular Weight = 278.33 gm, KAlSi3O8," Granitic pegmatites, hydrothermal and metamorphic rocks.", Valid Species (Pre-IMA) 1830, Common world wide occurrences. Link to MinDat.org Location Data.," From the Greek mikron - ""little"" and klinein - ""to stoop.""", Microcline + Pronunciation, Amazonstone - green," a = 8.577, b = 12.967, c = 7.223, Z = 4; alpha = 90.65°, beta = 115.933°, gamma = 87.783° V = 721.85 Den(Calc)= 2.56"," {001} Perfect, {010} Good"," Bluish green, Green, Gray, Grayish yellow, Yellowish.", 2.56, Translucent to transparent, Uneven - Flat surfaces (not cleavage) fractured in an uneven pattern., Prismatic - Crystals Shaped like Slender Prisms (e.g. tourmaline)., 6 - Orthoclase, Vitreous (Glassy)," Fermion Index = 0.01
Boson Index = 0.99"," PEMicrocline = 2.85 barns/electron
U=PEMicrocline x relectron= 7.23 barns/cc.","
GRapi = 200.97 (Gamma Ray American Petroleum Institute Units)
Concentration of Microcline per GRapi unit = 0.50 (%)
Estimated Radioactivity from Microcline - barely detectable", 76.01.01.05 (76)Tectosilicate Al-Si Framework, 09.FA.30 09 - SILICATES (Germanates),,Microcline, white," CI meas= 0.01 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= 0.01 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2038,KPDmeas= 0.2038,KC= 0.2058
Ncalc = 1.53"," Biaxial (-), a=1.518, b=1.522, g=1.525, bire=0.0070, 2V(Calc)=80, 2V(Meas)=77-84. Dispersion relatively weak."
139," [C,H,O]", Molecular Weight = 180.29 gm, C12H20O, Fossilized tree resin which is insoluble in common organic solvents. Gives an aromatic odor when burned (Plastic imitations do not)., Not Approved IMA," Gdansk, Shores of the Baltic Sea, Poland. Link to MinDat.org Location Data.", The name is for the yellow-orange-brown color.,, Bernstein,, None," Yellow, Brown, Colorless, Brownish red."," 1.05 - 1.15, Average = 1.1", Transparent," Conchoidal - Fractures developed in brittle materials characterized by smoothly curving surfaces, (e.g. quartz)."," Pulverulent - Forms a loose, poorly-coherent powdery mass.", 2-2.5 - Gypsum-Finger Nail, Resinous," Fermion Index = 0.0088532573
Boson Index = 0.9911467427"," PEAmber = 0.15 barns/electron
U=PEAmber x rElectron Density= 0.18 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Amber is Not Radioactive", 50.00.00.00 (50)Organic Minerals, 10.C 10 - ORGANIC COMPOUNDS, NAME( Athena),Amber, white," CI meas= -0.445 (Poor) - where the CI = (1-KPDmeas/KC)
KPDmeas= 0.4909,KC= 0.3397
Ncalc = 1.36 - 1.39"," Isotropic, n=1.54."
140," (Li,Na)Al(PO4)(F,OH)", Molecular Weight = 151.41 gm, Li0.75Na0.25Al(PO4)F0.75(OH)0.25,, Valid Species (Pre-IMA) 1817, Link to MinDat.org Location Data.," From the Greek amblys - ""blunt"" and goni - ""angle.""", Amblygonite + Pronunciation, ICSD 26513," a = 5.19, b = 7.12, c = 5.04, Z = 2; alpha = 112.033°, beta = 97.816°, gamma = 68.116° V = 158.71 Den(Calc)= 3.17"," {100} Perfect, {110} Good, {011} Distinct"," White, Yellow, Gray, Bluish gray, Greenish gray."," 2.98 - 3.11, Average = 3.04", Transparent to Subtransparent to translucent, Uneven - Flat surfaces (not cleavage) fractured in an uneven pattern., Prismatic - Crystals Shaped like Slender Prisms (e.g. tourmaline)., 5.5-6 - Knife Blade-Orthoclase, Vitreous - Pearly," Fermion Index = 0.0027945113
Boson Index = 0.9972054887"," PEAmblygonite = 1.64 barns/electron
U=PEAmblygonite x rElectron Density= 4.87 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Amblygonite is Not Radioactive"," 41.05.08.01 (41)Anhydrous Phosphates, etc. Containing Hydroxyl or Halogen"," 08.BB.05 08 - PHOSPHATES, ARSENATES, VANADATES"," NAME( Duda&Rejl90) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Mason68)",Amblygonite, white," CI meas= -0.004 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= 0.027 (Excellent) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1921,KPDmeas= 0.1981,KC= 0.1974
Ncalc = 1.59 - 1.62"," Biaxial (-), a=1.58-1.6, b=1.59-1.62, g=1.6-1.63, bire=0.0200-0.0300, 2V(Calc)=68-88, 2V(Meas)=50."
141, NaB3O3(OH)4, Molecular Weight = 171.45 gm, NaB3O3(OH)4, Massive borax in a borate-rich playa., Approved IMA 1967," Tincalayu borax deposit, Salar del Hombre Muerto, Salta Province, Argentina. Link to MinDat.org Location Data."," Named for Carlos Ameghino (1865-1936) and Florentino Ameghino (1854-1911), both brothers and Argentine geologists.", Ameghinite + Pronunciation, ICSD 4219," a = 18.428, b = 9.882, c = 6.326, Z = 8; beta = 104.387° V = 1,115.87 Den(Calc)= 2.04"," {???} Distinct, {???} Imperfect", Colorless.," 2.02 - 2.03, Average = 2.02", Transparent," Brittle - Conchoidal - Very brittle fracture producing small, conchoidal fragments.",, 2-3 - Gypsum-Calcite, Vitreous (Glassy)," Fermion Index = 0.03
Boson Index = 0.97"," PEAmeghinite = 0.48 barns/electron
U=PEAmeghinite x rElectron Density= 0.99 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Ameghinite is Not Radioactive", 25.03.01.01 (25)Anhydrous Borates Containing Hydroxyl or Halogen, 06.CA.10 06 - BORATES," NAME( AntBidBlaNic5) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Ameghinite, white," CI meas= -0.039 (Good) - where the CI = (1-KPDmeas/KC)
CI calc= -0.032 (Excellent) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2443,KPDmeas= 0.2461,KC= 0.2368
Ncalc = 1.48"," Biaxial (-), a=1.429, b=1.528, g=1.538, bire=0.1090"
142, Mg2Al(SiAl)O5(OH)4, Molecular Weight = 278.68 gm, Mg2Al2SiO5(OH)4," A product of low-grade metamorphism of Al, Mg-rich rocks.", Valid Species (Pre-IMA) 1876," At the Emery mine, Chester, Hampden Co., Massachusetts, USA. From the Lake Asbestos mine, Black Lake Link to MinDat.org Location Data."," Honors James Ames, a mine owner.", Amesite,," a = 5.31, b = 9.212, c = 14.401, Z = 4; alpha = 102.11°, beta = 90.2°, gamma = 90.1° V = 688.75 Den(Calc)= 2.69", {001} Perfect," White, Light green.", 2.77, Transparent to translucent,, Pseudo Hexagonal - Crystals show a hexagonal outline., 2.5-3 - Finger Nail-Calcite, Pearly," Fermion Index = 0.02
Boson Index = 0.98"," PEAmesite = 1.37 barns/electron
U=PEAmesite x rElectron Density= 3.70 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Amesite is Not Radioactive", 71.01.02c.01 (71)Phyllosilicate Sheets of Six-Membered Rings, 09.ED.15 09 - SILICATES (Germanates)," NAME( AntBidBlaNic2) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Ford32)",Amesite, pale green," CI meas= 0.023 (Excellent) - where the CI = (1-KPDmeas/KC)
CI calc= -0.006 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2238,KPDmeas= 0.2173,KC= 0.2224
Ncalc = 1.6 - 1.62"," Biaxial (+), a=1.597, b=1.597, g=1.612, bire=0.0150, 2V(Calc)=0, 2V(Meas)=0."
143, Mg3Si2O5(OH)4, Molecular Weight = 277.11 gm, Mg3Si2O5(OH)4, Metamorphosed and hydrothermally-altered ultra-basic rocks. Parachrysotile (1956) is now regarded as polytype of chrysotile., Discredited IMA 2006 - Valid Species (Pre-IMA) 1951," Asbestos, Quebec, Canada. Link to MinDat.org Location Data."," Named for the crystal structure and the relationship to chrysotile which is from the Greek chrysos - ""gold"" and tilos - ""fiber.""", Parachrysotile + Pronunciation, Amianthus," a = 5.3, b = 9.2, c = 14.6, Z = 4; V = 711.90 Den(Calc)= 2.59", {???} Distinct," Green, Red, Yellow, White."," 2.53 - 2.65, Average = 2.59", Translucent to opaque," Fibrous - Thin, elongated fractures produced by crystal forms or intersecting cleavages (e.g. asbestos).", Massive - Fibrous - Distinctly fibrous fine-grained forms., 2.5-3 - Finger Nail-Calcite, Silky," Fermion Index = 0.03
Boson Index = 0.97"," PEParachrysotile = 1.39 barns/electron
U=PEParachrysotile x rElectron Density= 3.64 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Parachrysotile is Not Radioactive", 71.01.02d.03 (71)Phyllosilicate Sheets of Six-Membered Rings, 09.ED.15 09 - SILICATES (Germanates), NAME( Dana8) PHYS. PROP.(Dana8) OPTIC PROP.(Dana8),Parachrysotile, white," CI meas= 0.027 (Excellent) - where the CI = (1-KPDmeas/KC)
CI calc= 0.027 (Excellent) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2158,KPDmeas= 0.2158,KC= 0.2217
Ncalc = 1.56 - 1.59"," Biaxial (-), a=1.545-1.569, b=1.546-1.569, g=1.553-1.571, bire=0.0020-0.0080, 2V(Calc)=0-42, 2V(Meas)=20-60. Dispersion relatively weak."
144, K2Na2Al4Si4O16•5(H2O), Molecular Weight = 690.51 gm, K2Na2Al4Si4O16•5(H2O)," In veinlets cutting melilite-nephelinite volcanic rocks and pyroclastics (Hegau, Germany); in natrolite veinlets cutting ijolite-urtite pegmatites and apatite-nepheline rocks (Kola Peninsula, Russia).", Approved IMA 1979," In the Howenegg quarry, Hegau, Baden-Wurttemberg, Germany. From the Kukisvumchorr apatite deposit, Khibiny massif, Kola Peninsula, Russia. Link to MinDat.org Location Data."," To honor Giovan Battista, Amici (1786-1863), physicist, optician, and inventor of microscope optical elements.", Amicite, ICSD 8523," a = 10.226, b = 10.422, c = 9.884, Z = 2; beta = 88.317° V = 1,052.94 Den(Calc)= 2.18", None, Colorless., 2.06, Transparent,,, 5-5.5 - Apatite-Knife Blade, Vitreous (Glassy)," Fermion Index = 0.0078471452
Boson Index = 0.9921528548"," PEAmicite = 2.33 barns/electron
U=PEAmicite x relectron= 5.10 barns/cc.","
GRapi = 163.73 (Gamma Ray American Petroleum Institute Units)
Concentration of Amicite per GRapi unit = 0.61 (%)
Estimated Radioactivity from Amicite - barely detectable", 77.01.03.02 (77)Tectosilicate Zeolite group, 09.GC.05 09 - SILICATES (Germanates)," NAME( AntBidBlaNic2) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Amicite, white," CI meas= -0.091 (Poor) - where the CI = (1-KPDmeas/KC)
CI calc= -0.031 (Excellent) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2284,KPDmeas= 0.2417,KC= 0.2217
Ncalc = 1.46 - 1.48"," Biaxial (?), b=1.498"
145, Ca3Be2Si3O10(OH)2, Molecular Weight = 416.52 gm, Ca3Be2(Si3O10)(OH)2," In fluorite veins in the Dugdinsk Massif, Tuva, Siberia, Russia.", Valid Species (Pre-IMA) 1937," Langban, Varmland, Sweden. Link to MinDat.org Location Data."," Named for Gregori Aminoff (1993-1947), Swedish Mineralogist and crystallographer.", Aminoffite + Pronunciation, ICSD 32654," a = 9.865, c = 9.93, Z = 4; V = 966.37 Den(Calc)= 2.86", {001} Indistinct," Colorless, Light yellow.", 2.94, Transparent," Brittle - Conchoidal - Very brittle fracture producing small, conchoidal fragments.",, 5.5 - Knife Blade, Vitreous (Glassy)," Fermion Index = 0.05
Boson Index = 0.95"," PEAminoffite = 4.36 barns/electron
U=PEAminoffite x rElectron Density= 12.81 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Aminoffite is Not Radioactive", 57.01.01.01 (57)Sorosilicate Insular Si3O10 and Larger Noncyclic Groups, 09.BH.05 09 - SILICATES (Germanates)," NAME( Dana8) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Aminoffite, white," CI meas= 0 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= -0.028 (Excellent) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2245,KPDmeas= 0.2184,KC= 0.2184
Ncalc = 1.62 - 1.64"," Uniaxial (-), e=1.637, w=1.647, bire=0.0100."
146, (NH4)Al(SO4)2•12(H2O), Molecular Weight = 453.33 gm, (NH4)Al(SO4)2•12(H2O)," Burning coal seams, mines, and dumps and bituminous shales. Found in fumaroles.", Valid Species (Pre-IMA) 1853," Cermniky, (Tschermig), Czechoslovakia. Link to MinDat.org Location Data.", Named after the locality., Tschermigite + Pronunciation, Ammonia alum," a = 12.215, Z = 4; V = 1,822.55 Den(Calc)= 1.65", {100} Perfect," White, Colorless.", 1.65, Transparent to translucent," Conchoidal - Fractures developed in brittle materials characterized by smoothly curving surfaces, (e.g. quartz).", Fibrous - Crystals made up of fibers., 1.5-2 - Talc-Gypsum, Vitreous (Glassy)," Fermion Index = 0.03
Boson Index = 0.97"," PETschermigite = 1.16 barns/electron
U=PETschermigite x rElectron Density= 2.03 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Tschermigite is Not Radioactive", 29.05.05.03 (29)Hydrated Acid and Sulfates," 07.CC.20 07 - SULFATES (SELENATES, TELLURATES)"," NAME( Dana8) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Ford32)",Tschermigite, white," CI meas= -0.122 (Poor) - where the CI = (1-KPDmeas/KC)
CI calc= -0.122 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2782,KPDmeas= 0.2782,KC= 0.2479
Ncalc = 1.41"," Isotropic, n=1.459."
147, K2SO4, Molecular Weight = 174.26 gm, K2(SO4), In a pine railroad tie., Valid Species (Pre-IMA) Prehistoric," Santa Ana mine, Trabaco Canyon, Orange County, California. Link to MinDat.org Location Data."," Named from the Latin arcanum duplicatum, for double secret, a medieval alchemical name.", Arcanite, Ammonian arcanite," a = 5.76, b = 10.05, c = 7.46, Z = 4; V = 431.84 Den(Calc)= 2.68"," {010} Good, {001} Good"," Colorless, Yellow, White.", 2.663, Transparent,,, 2 - Gypsum, Vitreous (Glassy)," Fermion Index = 0.001610221
Boson Index = 0.998389779"," PEArcanite = 5.60 barns/electron
U=PEArcanite x relectron= 14.73 barns/cc.",, 28.02.01.02 (28)Anhydrous Acid and Sulfates," 07.AD.05 07 - SULFATES (SELENATES, TELLURATES)"," NAME( AntBidBlaNic5) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Arcanite, white," CI meas= 0.007 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= 0.013 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1848,KPDmeas= 0.1859,KC= 0.1873
Ncalc = 1.5"," Biaxial (+), a=1.4935, b=1.4947, g=1.4973, bire=0.0038, 2V(Calc)=70, 2V(Meas)=67."
