,name,image,caption,category,formula,strunz,system,dana,class,symmetry,unit cell,habit,cleavage,mohs,luster,opticalprop,refractive,birefringence,streak,density,diaphaneity,impurities,colour,post_town,var6text,postcode_district,polish,population,unitary_scotland,diagnostic,melt,death_place,birth_place,field,var1,var4,official_name,dispersion,coordinates,static_image_caption,country,fluorescence,color,boxtextcolor,known_for,solubility,lieutenancy_scotland,alteration,var3text,constituency_scottish_parliament,birth_date,count,other,residence,var5,twinning,image_size,imagesize,alt,fusibility,fracture,tenacity,var6,os_grid_reference,var1text,var5text,molweight,gravity,death_date,absorption,var4text,postcode_area,prop1,pleochroism,prop1text,var3,constituency_westminster,lustre,2V,boxwidth,boxes,boxbgcolor,var2text,references,var2
10,Olivine,Olivine-gem7-10a.jpg,,[[Nesosilicate]]<br />Olivine group<br />Olivine series,"{{chem2|(Mg,Fe)2SiO4}}",9.AC.05,[[Orthorhombic]],,,''Pbnm'' (no. 62),,Massive to granular,Poor,6.5–7,Vitreous,Biaxial (+),n<sub>α</sub> = 1.630–1.650<br />n<sub>β</sub> = 1.650–1.670<br />n<sub>γ</sub> = 1.670–1.690,δ = 0.040,None,,Transparent to translucent,,,,,,,,,,,,,,,,,,,,,,Yellow to yellow-green,,,,,,,,,,,,,,,,,,[[Conchoidal fracture|Conchoidal]] – brittle,,,,,,,3.2–4.5,,,,,,,,,,,,,,#95bf5d,,,
11,Tephroite,Tephroite Manganese silicate Kaao Mine Tochigi-ken Honshu Japan 1816.jpg,Tephroite from Japan,[[Silicate mineral]],Mn<sub>2</sub>SiO<sub>4</sub>,,[[Orthorhombic]],,Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m),''Pnma'' (no. 62),"a = 4.88(2)&nbsp;[[Ångström|Å]], b = 10.61(2)&nbsp;Å <br/>c = 6.24(2)&nbsp;Å; Z&nbsp;=&nbsp;4","Crystals typically short, prismatic, to 4 cm, or anhedral, equidimensional. Commonly in disseminated grains, compact, or massive.","{010}, distinct; {001}, imperfect",6,Vitreous to greasy,Biaxial (-),n<sub>α</sub> = 1.759 n<sub>β</sub> = 1.797 n<sub>γ</sub> = 1.860,δ = 0.101,Pale gray,,Transparent to translucent,,,,,,,,,,,,,,,,,,,,,,"Olive-green, bluish green, gray, °esh-red, reddish brown; pale green in thin section, may be colorless",,,,,,,,,,,,,Uncommon on {011},,,,,Uneven to conchoidal,Brittle,,,,,,3.87 – 4.12,,,,,,Weak; X = brownish red; Y = reddish; Z = greenish blue.,,,,,"Measured: 60° to 70°, Calculated: 78°",,,,,,
12,Phenakite,Fenacitas.jpg,Phenakite crystals,[[Nesosilicate]],Be<sub>2</sub>SiO<sub>4</sub>,9.AA.05,[[Trigonal]],,Rhombohedral ( {{overline|3}} ) <br/>[[H-M symbol]]: ( {{overline|3}} ),''R'' {{overline|3}},"a = 12.438&nbsp;Å, c = 8.231&nbsp;Å; Z&nbsp;=&nbsp;18","Tabular, prismatic to acicular crystals often as columnar aggregates, as spherulites and granular","Distinct on {11 {{overline|2}} 0}, imperfect on {10 {{overline|1}} 1}",7.5 – 8,Vitreous,Uniaxial (+),n<sub>ω</sub> = 1.650 - 1.656 n<sub>ε</sub> = 1.667 - 1.670,δ = 0.017,,,Transparent to translucent,,,,,,,,,,,,,,,,,,,,,,"Colorless, yellow, pink, brown",,,,,,,,,,Bright blue cathodoluminescence,,,Penetration twins around {0001},,260px,,,Conchoidal,Brittle,,,,,,2.93 – 3.00,,,,,,,,,,,,,,,,,
13,Willemite,File:Willemite-168225.jpg,Willemite from [[Namibia]],[[Silicate mineral]],Zn<sub>2</sub>SiO<sub>4</sub>,9.AA.05 (10 ed) <br/><small>8/A.01-20 (8 ed)</small>,[[Trigonal crystal system|Trigonal]],51.1.1.2,[[Rhombohedral lattice system|Rhombohedral]] ( {{overline|3}} ) <br/>[[H-M symbol]]: ( {{overline|3}} ),"''R''<u style=""text-decoration:overline"">3</u>",,"Fibrous, [[botryoidal]] to massive","{0001}, {11<u style=""text-decoration:overline"">2</u>0} - imperfect",5.5,Vitreous to resinous,Uniaxial (+),nω = 1.691 {{snd}} 1.694 nε = 1.719 {{snd}} 1.725,δ = 0.028,,,Transparent to opaque,,,,,,,,,,,,,,,,,,,,,,"Colorless to white, gray, black, flesh-red, burgundy-red, pink, brown, dark brown, mahogany-brown, honey-yellow, yellow, apple-green, blue, pastel green, light blue, azure-blue",,,,,,,,,,Strongly [[fluorescent]]; may be [[phosphorescent]],,,,,,,,Irregular to conchoidal,,,,,,,3.9 {{snd}} 4.2,,,,,,,,,,,,,,,,,
14,Eucryptite,Eucryptite-202043.jpg,Eucryptite grains in albite from the type locality (size:9.3 x 7.0 x 2.8 cm),[[Silicate mineral]],LiAlSiO<sub>4</sub>,,[[Trigonal crystal system|Trigonal]],,Rhombohedral ( {{overline|3}} ) <br/>[[H-M symbol]]: ( {{overline|3}} ),''R'' {{overline|3}},"a = 13.48, c = 9.01&nbsp;[Å]; Z&nbsp;=&nbsp;18","Rare as euhedral crystals, coarse crystalline aggregates and massive",Indistinct on {10 {{overline|1}} 0} and {0001},6.5,Vitreous,Uniaxial (+),n<sub>ω</sub> = 1.570 - 1.573 n<sub>ε</sub> = 1.583 - 1.587,δ = 0.013,White,2.67,Transparent to translucent,,,,,,,,,,,,,,,,,,,,,,"Brown, colorless, white",,,,,,,,,,Fluoresces pink to red or orange under SW UV,,,,,,,,Conchoidal,Very brittle,,,,,,,,,,,,,,,,,,,,,,,
15,Sillimanite,Sillimanite-k302a.jpg,,[[Nesosilicate]],Al<sub>2</sub>SiO<sub>5</sub>,9.AF.05,[[Orthorhombic]],52.02.02a.01,Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m),''Pbnm'',"a = 7.47&nbsp;[[Ångstrom|Å]], b = 7.66&nbsp;Å <br/>c = 5.75&nbsp;Å; Z&nbsp;=&nbsp;4","Prismatic crystals, fibrous, acicular",{010} perfect,7,"Vitreous to subadamantine, silky",Biaxial (+),n<sub>α</sub> = 1.653 - 1.661 n<sub>β</sub> = 1.654 - 1.670 n<sub>γ</sub> = 1.669 - 1.684,δ = 0.020 - 0.022,White,,Transparent to translucent,,,,,,,,,,,,,,,,,,,,,,"Colourless or white to grey, also brown, yellow, yellow-green, grey-green, blue-green, blue; colourless in thin section",,,,,,,,,,,,,,,,,,Splintery,Tough,,,,,,3.24,,,,,,Colourless to pale brown to yellow,,,,,21 - 30°,,,,,,
16,Mullite,"Osumilite, thick tabulars with Mullite - Ochtendung, Eifel, Germany.jpg","White, filamentous mullite in front of thicker [[osumilite]] platelets<br>(Photo width 1.5 mm)<br>Found in Wannenköpfe, [[Ochtendung]], [[Eifel]], Germany",[[Nesosilicate]],Al<sub>6</sub>Si<sub>2</sub>O<sub>13</sub>,9.AF.20,[[Orthorhombic]],,Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m),"''Pbnm'', ''Pnnm''","a = 7.5785(6)&nbsp;Å, <br/>b = 7.6817(7)&nbsp;Å, <br/>c = 2.8864(3)&nbsp;Å; Z&nbsp;=&nbsp;1",Prismatic to acicular crystals,Good on [010],,,Biaxial (+),n<sub>α</sub> = 1.642 - 1.653 n<sub>β</sub> = 1.644 - 1.655 n<sub>γ</sub> = 1.654 - 1.679,δ = 0.012 - 0.026,,,,,,,,,,,,,,,,,,,,,,,,,Colorless to pale pink or grey,,,,,,,,,,,,,,,260px,,,,,,,,,,,,,,,,,,,,,Measured: 20° to 50°,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Andalusite,"Andalusite - Malacheta, Minas Gerais, Brazil.jpg",Andalusite,[[Nesosilicates]],Al<sub>2</sub>SiO<sub>5</sub>,9.AF.10,[[Orthorhombic]],,Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m),''Pnnm'',"a = 7.7980&nbsp;[[Ångstrom|Å]], b = 7.9031&nbsp;Å <br/>c = 5.5566&nbsp;Å; Z&nbsp;=&nbsp;4",As euhedral crystals or columnar aggregates having nearly square cross sections; fibrous compact to massive,"Good on {110}, poor on {100}",6.5 - 7.5,Vitreous,"double refractive, biaxial negative; ''chiastolite'' has anomalous aggregate reaction.",n<sub>α</sub> = 1.629 - 1.640 n<sub>β</sub> = 1.633 - 1.644 n<sub>γ</sub> = 1.638 - 1.650,δ = 0.009 - 0.010,White,,Transparent to nearly opaque with inclusions,,,,,,,,,,,,,,,,,r < v strong,,,,non-fluorescent,"Pink, violet, yellow, green, white, gray; in thin section, colorless to pink or green",,,,,,,,,,,,,"On {101}, rare",,260px,,,uneven to subconchoidal,,,,,,,3.17 (+/- .04),,,,,,strongly trichroic,,,,,71 - 86°,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Kyanite,Kyanite_crystals.jpg,,[[Nesosilicate]],{{chem2|Al2SiO5}},9.AF.15,[[Triclinic]],,Pinacoidal ( {{overline|1}} ) <br/><small>(same [[H-M symbol]])</small>,''P'' {{overline|1}},"a = 7.1262(12)&nbsp;Å <br/>b = 7.852(10)&nbsp;Å <br/>c = 5.5724(10)&nbsp;Å <br/>α = 89.99(2)°, β = 101.11(2)° <br/>γ = 106.03(1)°; Z&nbsp;=&nbsp;4",Columnar; fibrous; bladed,[100] perfect [010] imperfect with 79° angle between,4.5-5 parallel to one axis <br> 6.5-7 perpendicular to that axis,Vitreous to white,Biaxial (-),nα = 1.712 - 1.718 nβ = 1.720 - 1.725 nγ = 1.727 - 1.734,,White,,Transparent to translucent,,,,,,,,,,,,,,,,,,,,,,"Blue, white, rarely green, light gray to gray, rarely yellow, pink, orange, and black, can be zoned",,,,,,,,,,,,,Lamellar on {100},,260px,,,Splintery,Brittle,,,,,,3.53 - 3.65 measured; 3.67 calculated,,,,,,"Trichroic, colorless to pale blue to blue",,,,,78°-83°,,,,,,
22,Titanite (Sphene),"Titanite crystals on Amphibole - Ochtendung, Eifel, Germany.jpg",Titanite crystals on amphibole (image width 2 mm),[[Silicate minerals|nesosilicate]],CaTiSiO<sub>5</sub>,9.AG.15,[[Monoclinic]],,Prismatic (2/m) <br /><small>(same [[H-M symbol]])</small>,''P''2<sub>1</sub>/a,"a = 7.057&nbsp;[[Ångström|Å]], b = 8.707&nbsp;Å <br />c = 6.555&nbsp;Å; β = 113.81°; Z&nbsp;=&nbsp;4","Flattened wedge-shaped crystals, also massive","Distinct on [110], parting on {221}",5 to 5.5,Subadamantine tending to slightly resinous,Biaxial (+),nα = 1.843 – 1.950<br>nβ = 1.870 – 2.034 <br>nγ = 1.943 – 2.110,δ = 0.100 – 0.160,Reddish white,,Translucent to transparent,,"Reddish brown, brown, gray, black, yellow, green, or red, colourless",,,,,,,,,,,,,,,r > v strong,,,,,,,,,,,,,,,[[Image:Radioactive.svg|25px]] [[Radioactive]] – may be metamict,,,"Contact and penetration on {100}, lamellar on {221}",,260px,,,Sub-conchoidal,,,,,,,3.48 to 3.60,,,,,,Strong: X = nearly colorless; Y = yellow to green; Z = red to yellow-orange,,,,,17 to 40° (measured),,,yellow,,,
23,Malayaite,Malayaite.jpg,Malayaite found in the United Kingdom,[[Silicate mineral]],CaSnO[SiO<sub>4</sub>],9.AG.15,Monoclinic,,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,''A2/a'',"a = 7.15&nbsp;Å, b = 8.90&nbsp;Å, <br/>c = 6.67&nbsp;Å; β = 113.4°; <br/>V = 389.50 Å<sup>3</sup>; Z&nbsp;=&nbsp;4",Massive or wedge shaped,,3.5 - 4,Vitreous or resinuous,Biaxial (-),n<sub>α</sub> = 1.765 n<sub>β</sub> = 1.784 n<sub>γ</sub> = 1.799,δ=0.0340-0.0350,White,,Translucent,,,,,,,,,,,,,,,,,,,,,,"Colorless, greenish gray, white, light yellow, orange",,,,,,,,,,"Fluorescent, Short UV = bright yellowish green",,,,,,,,,,,,,,266.87 g/mol,4.3 - 4.55,,,,,,"x=colorless, y=colorless, z = pale yellow",,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Cerite,Cerite.jpg,Cerite - Bastnas - Deposit Topotype,Silicate mineral group,"{{chem|(Ce,La,Ca)|9|(Mg,Fe|3+|)|(Si|O|4|)|6|(Si|O|3|OH)|(OH)|3}}",,[[Trigonal]],,Ditrigonal pyramidal (3m) <br/><small>(same [[H-M symbol]])</small>,''R3c'',,Massive granular,None,5 to 5.5,Vitreous to resinous,Uniaxial (+),nω = 1.806 - 1.810 nε = 1.810 - 1.820,δ = 0.010,White to greyish white,,Subtranslucent to opaque,,,,,,,,,,,,,,,,,,,,,,Clove-brown with a reddish tinge; pale lavender-brown to colorless in thin fragments,,,,,,,,,,,,,,,260px,,,Uneven,,,,,,,4.7 to 4.86,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Britholite-(Ce),Britholite-(Ce)-154914.jpg,A photo of the mineral,,"(Ce,Ca) {{sub|5}} (SiO {{sub|4}} ) {{sub|3}} OH",,[[Hexagonal crystal family|Hexagonal]] - [[Dipyramid|Dipyramidal]],,,''P''6<sub>3</sub>/''m'',,,,5.5,[[Adamantine luster|Adamantine]] - [[Resinous]],,,,,4.45,,,"Brown, greenish brown, yellow, resin brown, black",,,,,,,,,,,,hardness,,,,,,,,,,,,,,"Naujakasik(Naajakasik), [[Tunulliarfik Fjord]], [[Ilímaussaq complex]], [[Narsaq]], [[Kujalleq]], [[Greenland]]",,,,,,,,,,,,,,,,5.5 on the [[Mohs scale of hardness|Mohs scale]],,,4.45,,,,,,,,type locality,,,,,,,,,
28,'''Fluorellestadite''',Ellestadite-(F)-Calcite-215134.jpg,"Fluorellestadite on blue calcite from the Crestmore Quarries, California, US",[[Nesosilicates]] <br />[[Apatite]] structural group,Ca<sub>10</sub>(SiO<sub>4</sub>)<sub>3</sub>(SO<sub>4</sub>)<sub>3</sub>F<sub>2</sub>,9.AH.25 (10 ed) <br/><small>8/B.27-10 (8 ed)</small>,[[Hexagonal crystal system|Hexagonal]],52.04.09.03,Dipyramidal (6/m) <br/>[[H-M symbol]]: (6/m),''P''6<sub>3</sub>/m,,"Acicular or hexagonal prismatic crystals, and fine-grained aggregates",Imperfect on {0001},{{frac|4|1|2}},Sub-resinous to vitreous,Uniaxial (-),"n<sub>ω</sub> = 1.638(2), n<sub>ε</sub> = 1.632(2); <br/>
n<sub>ω</sub> = 1.655, n<sub>ε</sub> = 1.650",,White with a weak bluish tint,,Transparent to translucent,,,,,,,,,,,,,,,,,,,,,,"Light red, yellow, bluish green or colorless",,,Easily soluble in dilute hydrochloric and nitric acids,,,,,,,Sometimes fluorescent. Not radioactive.,,,,,260px,,,Conchoidal,Very brittle,,,,,503.55 g/mol,3.03 to 3.07,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,Biggar,,ML12,,315,[[South Lanarkshire]],,,,,,,,Leadhills,,"{{coord|55.4162|-3.7629|display|=|inline,title}}",Old Mine Workings at [[Wanlockhead]],Scotland,,,,,,[[Lanarkshire]],,,[[Clydesdale (Scottish Parliament constituency)|Clydesdale]],,,,,,,,,,,,,,NS885150,,,,,,,,ML,,,,,"[[Dumfriesshire, Clydesdale and Tweeddale (UK Parliament constituency)|Dumfriesshire, Clydesdale and Tweeddale]]",,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Cuprosklodowskite,Cuprosklodowskite-27211.jpg,"Cuprosklodowskite,  [[Musonoi mine]], [[Kolwezi]], [[Lualaba District]], Democratic Republic of the Congo {3.6 x 2.7 x 2.2 cm}",[[Uranium]] mineral,Cu(UO<sub>2</sub>)<sub>2</sub>(HSiO<sub>4</sub>)<sub>2</sub>·6(H<sub>2</sub>O),9.AK.10,[[Triclinic]],,Pinacoidal ( {{overline|1}} ) <br/><small>(same [[H-M symbol]])</small>,''P'' {{overline|1}},"a = 7.052(5)&nbsp;Å, <br/>b = 9.267(8)&nbsp;Å, <br/>c = 6.655(5)&nbsp;Å; <br/>α = 109.23°, β = 89.84°,<br/> γ = 110.01°; Z&nbsp;=&nbsp;1",In radiating groups of [[Acicular (crystal habit)|acicular]] flattened or bladed needles or fibrous crusts,On {100},4,Dull to silky in aggregates,Biaxial (-),n<sub>α</sub> = 1.654 - 1.655 n<sub>β</sub> = 1.664 - 1.667 n<sub>γ</sub> = 1.664 - 1.667,δ = 0.010 - 0.012,Greenish yellow,,Transparent to translucent,,,,,,,,,,,,,,,,,,,,,,Yellowish to grass-green,,,,,,,,,,[[Image:Radioactive.svg|25px]] [[Radioactive]],,,Twice a year,,260px,,,Uneven,,,,,,,3.85,,,,,,X = nearly colorless; Y = Z = yellowish green,,,,,,,,#96dd67,,,
